Plantation year,Plot,canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2017,26,64,63,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,27,77,50,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,28,65,62,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,28,77,50,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,32,61,66,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,32,56,71,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2017,35,77,50,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2019,1,67,60,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2019,1,62,65,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2019,3,72,55,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2019,3,76,51,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2019,4,60,67,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2019,8,57,70,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,2,74,53,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,5,68,59,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,5,72,55,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,10,63,64,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,11,65,62,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,13,72,55,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,16,54,73,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,19,62,65,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,21,73,54,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,21,70,57,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,23,70,57,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,23,62,65,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,24,49,78,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,24,69,58,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,26,70,57,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,26,66,61,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,31,70,57,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,31,76,51,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,31,77,50,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,35,81,46,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,36,59,68,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,38,65,62,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,39,62,65,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,39,64,63,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,39,85,42,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,40,50,77,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,40,57,70,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,40,60,67,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,42,62,65,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,42,77,50,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,43,74,53,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,45,60,67,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,45,65,62,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,46,72,55,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2020,46,71,56,0.317,0.64,0.600,0.039,0.554,0.036,1.153,0.075,0.288,0.019,0.216,0.014,0.504,0.033,153.938
2010,3,70,56,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2010,7,66,60,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,8,62,64,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,13,56,70,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,13,81,45,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,13,62,64,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,16,81,45,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,16,64,62,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,16,81,45,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,16,70,56,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,17,70,56,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,17,89,37,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,19,76,50,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,23,56,70,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,25,75,51,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,25,59,67,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,28,72,54,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,32,66,60,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,33,61,65,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,34,89,37,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,35,78,48,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,35,65,61,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,35,67,59,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2019,3,63,63,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2019,4,68,58,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2019,7,67,59,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2019,8,71,55,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2019,8,85,41,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,7,70,56,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,8,74,52,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,9,70,56,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,13,65,61,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,18,67,59,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,22,66,60,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,23,62,64,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,26,76,50,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,28,59,67,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,30,60,66,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,32,75,51,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,33,67,59,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,39,70,56,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,40,76,50,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,40,61,65,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,42,80,46,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,44,73,53,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2010,1,57,69,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,9,69,57,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,12,69,57,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,16,69,57,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2019,3,69,57,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,27,69,57,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,33,69,57,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2020,37,57,69,0.312,0.63,0.590,0.038,0.544,0.035,1.134,0.074,0.283,0.018,0.212,0.014,0.495,0.032,153.938
2017,2,55,36,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,3,52,39,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,20,35,56,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,20,52,39,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,1,43,48,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,1,44,47,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,3,57,34,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,21,49,42,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2017,30,50,41,0.163,0.46,0.294,0.038,0.271,0.035,0.565,0.073,0.141,0.018,0.106,0.014,0.247,0.032,76.969
2010,3,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2010,3,68,57,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2010,4,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2010,6,53,72,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2010,6,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2010,6,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2010,7,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,9,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,9,62,63,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,9,69,56,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,12,64,61,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,12,64,61,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,13,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,13,66,59,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,13,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,14,53,72,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,14,72,53,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,14,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,14,72,53,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,16,84,41,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,16,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,16,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,17,74,51,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,23,82,43,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,23,68,57,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,23,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,23,50,75,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,25,55,70,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,25,77,48,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,25,58,67,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,26,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,26,61,64,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,27,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,28,84,41,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,33,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,35,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2017,35,64,61,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,1,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,1,71,54,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,1,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,2,67,58,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,2,80,45,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,2,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,2,52,73,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,4,55,70,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,5,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,5,71,54,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,7,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,7,50,75,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,7,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2019,7,68,57,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,2,62,63,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,3,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,4,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,4,72,53,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,7,60,65,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,8,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,8,62,63,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,8,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,9,73,52,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,9,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,10,42,83,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,10,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,10,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,12,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,13,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,18,55,70,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,19,35,90,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,21,69,56,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,22,66,59,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,22,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,22,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,23,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,23,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,24,67,58,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,25,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,25,68,57,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,25,60,65,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,25,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,26,62,63,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,27,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,28,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,29,75,50,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,29,60,65,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,29,65,60,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,30,70,55,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,30,63,62,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,31,64,61,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
2020,33,83,42,0.307,0.63,0.580,0.038,0.535,0.035,1.115,0.072,0.278,0.018,0.209,0.014,0.487,0.032,153.938
