Plantation year,Plot,canopy width 1 (cm),canopy width 2 (cm),crown area (m2),CD Chatting (m),Chatting AGB (kg),Chatting AGB (Mg/ha),Comley & McGuinness planted BGB            (kg),Comley & McGuinness planted BGB    (Mg/ha),Total tree (kg),Total tree (Mg/ha),Chatting AGC       (kg C),Chatting AGC (Mg C/ha),Comley & McGuinness planted BGC           (kg C),Comley & McGuinness planted BGC    (Mg C/ha),Total tree (kg C),Total tree (Mg C/ha),plot size (m2)
2010,1,137,139,1.496,1.38,3.157,0.205,2.914,0.189,6.072,0.394,1.516,0.098,1.137,0.074,2.652,0.172,153.938
2017,23,117,159,1.496,1.38,3.157,0.205,2.914,0.189,6.072,0.394,1.516,0.098,1.137,0.074,2.652,0.172,153.938
2017,2_new,55,63,0.273,0.59,0.512,0.204,0.473,0.188,0.985,0.392,0.246,0.098,0.184,0.073,0.430,0.171,25.133
2017,5_new,62,56,0.273,0.59,0.512,0.204,0.473,0.188,0.985,0.392,0.246,0.098,0.184,0.073,0.430,0.171,25.133
2017,5_new,51,67,0.273,0.59,0.512,0.204,0.473,0.188,0.985,0.392,0.246,0.098,0.184,0.073,0.430,0.171,25.133
2017,1_new,48,70,0.273,0.59,0.512,0.204,0.473,0.188,0.985,0.392,0.246,0.098,0.184,0.073,0.430,0.171,25.133
2017,5_new,49,69,0.273,0.59,0.512,0.204,0.473,0.188,0.985,0.392,0.246,0.098,0.184,0.073,0.430,0.171,25.133
2017,5,97,102,0.778,1.00,1.568,0.204,1.447,0.188,3.015,0.392,0.753,0.098,0.564,0.073,1.317,0.171,76.969
2010,5,145,130,1.485,1.38,3.133,0.204,2.892,0.188,6.025,0.391,1.504,0.098,1.128,0.073,2.632,0.171,153.938
2010,2,135,138,1.463,1.37,3.084,0.200,2.847,0.185,5.931,0.385,1.481,0.096,1.110,0.072,2.591,0.168,153.938
2017,1_new,73,44,0.269,0.59,0.503,0.200,0.464,0.185,0.968,0.385,0.242,0.096,0.181,0.072,0.423,0.168,25.133
2017,1_new,63,54,0.269,0.59,0.503,0.200,0.464,0.185,0.968,0.385,0.242,0.096,0.181,0.072,0.423,0.168,25.133
2017,1_new,72,45,0.269,0.59,0.503,0.200,0.464,0.185,0.968,0.385,0.242,0.096,0.181,0.072,0.423,0.168,25.133
2017,3_new,68,49,0.269,0.59,0.503,0.200,0.464,0.185,0.968,0.385,0.242,0.096,0.181,0.072,0.423,0.168,25.133
2017,2,132,65,0.762,0.99,1.534,0.199,1.416,0.184,2.951,0.383,0.737,0.096,0.552,0.072,1.289,0.167,76.969
2017,2,121,76,0.762,0.99,1.534,0.199,1.416,0.184,2.951,0.383,0.737,0.096,0.552,0.072,1.289,0.167,76.969
2017,30,122,75,0.762,0.99,1.534,0.199,1.416,0.184,2.951,0.383,0.737,0.096,0.552,0.072,1.289,0.167,76.969
2010,4,135,137,1.453,1.36,3.060,0.199,2.825,0.183,5.885,0.382,1.469,0.095,1.102,0.072,2.571,0.167,153.938
2010,4,137,135,1.453,1.36,3.060,0.199,2.825,0.183,5.885,0.382,1.469,0.095,1.102,0.072,2.571,0.167,153.938
2010,4,142,130,1.453,1.36,3.060,0.199,2.825,0.183,5.885,0.382,1.469,0.095,1.102,0.072,2.571,0.167,153.938
2010,7,155,117,1.453,1.36,3.060,0.199,2.825,0.183,5.885,0.382,1.469,0.095,1.102,0.072,2.571,0.167,153.938
2017,3,115,81,0.754,0.98,1.518,0.197,1.401,0.182,2.919,0.379,0.729,0.095,0.546,0.071,1.275,0.166,76.969
2017,21,119,77,0.754,0.98,1.518,0.197,1.401,0.182,2.919,0.379,0.729,0.095,0.546,0.071,1.275,0.166,76.969
2017,2_new,64,52,0.264,0.58,0.494,0.197,0.456,0.181,0.950,0.378,0.237,0.094,0.178,0.071,0.415,0.165,25.133
2017,5,110,85,0.747,0.98,1.501,0.195,1.386,0.180,2.887,0.375,0.721,0.094,0.540,0.070,1.261,0.164,76.969
2017,3,126,69,0.747,0.98,1.501,0.195,1.386,0.180,2.887,0.375,0.721,0.094,0.540,0.070,1.261,0.164,76.969
2017,21,100,95,0.747,0.98,1.501,0.195,1.386,0.180,2.887,0.375,0.721,0.094,0.540,0.070,1.261,0.164,76.969
2010,7,121,148,1.421,1.35,2.989,0.194,2.758,0.179,5.747,0.373,1.435,0.093,1.076,0.070,2.510,0.163,153.938
2017,1_new,61,54,0.260,0.58,0.485,0.193,0.448,0.178,0.933,0.371,0.233,0.093,0.175,0.069,0.407,0.162,25.133
2017,5_new,72,43,0.260,0.58,0.485,0.193,0.448,0.178,0.933,0.371,0.233,0.093,0.175,0.069,0.407,0.162,25.133
2017,2,90,104,0.739,0.97,1.485,0.193,1.371,0.178,2.855,0.371,0.713,0.093,0.535,0.069,1.247,0.162,76.969
2017,35,142,125,1.400,1.34,2.941,0.191,2.715,0.176,5.656,0.367,1.412,0.092,1.059,0.069,2.471,0.160,153.938
2017,18,101,92,0.731,0.97,1.469,0.191,1.355,0.176,2.824,0.367,0.705,0.092,0.529,0.069,1.234,0.160,76.969
2017,19,156,110,1.389,1.33,2.918,0.190,2.693,0.175,5.611,0.364,1.401,0.091,1.050,0.068,2.451,0.159,153.938
2017,2_new,72,42,0.255,0.57,0.476,0.189,0.439,0.175,0.915,0.364,0.228,0.091,0.171,0.068,0.400,0.159,25.133
2017,27,127,138,1.379,1.33,2.894,0.188,2.671,0.174,5.566,0.362,1.389,0.090,1.042,0.068,2.431,0.158,153.938
2017,2,101,90,0.716,0.96,1.436,0.187,1.326,0.172,2.762,0.359,0.689,0.090,0.517,0.067,1.206,0.157,76.969
2017,29,105,159,1.368,1.32,2.871,0.187,2.650,0.172,5.521,0.359,1.378,0.090,1.033,0.067,2.412,0.157,153.938
2017,2_new,63,50,0.251,0.57,0.467,0.186,0.431,0.172,0.898,0.357,0.224,0.089,0.168,0.067,0.392,0.156,25.133
2017,1_new,54,59,0.251,0.57,0.467,0.186,0.431,0.172,0.898,0.357,0.224,0.089,0.168,0.067,0.392,0.156,25.133
2017,16,126,137,1.358,1.32,2.848,0.185,2.628,0.171,5.476,0.356,1.367,0.089,1.025,0.067,2.392,0.155,153.938
2017,35,126,137,1.358,1.32,2.848,0.185,2.628,0.171,5.476,0.356,1.367,0.089,1.025,0.067,2.392,0.155,153.938
2017,18,105,85,0.709,0.95,1.420,0.185,1.311,0.170,2.731,0.355,0.682,0.089,0.511,0.066,1.193,0.155,76.969
2017,16,127,134,1.338,1.31,2.802,0.182,2.586,0.168,5.387,0.350,1.345,0.087,1.008,0.066,2.353,0.153,153.938
2017,29,135,126,1.338,1.31,2.802,0.182,2.586,0.168,5.387,0.350,1.345,0.087,1.008,0.066,2.353,0.153,153.938
2017,23,190,70,1.327,1.30,2.779,0.181,2.565,0.167,5.343,0.347,1.334,0.087,1.000,0.065,2.334,0.152,153.938
2017,21,109,79,0.694,0.94,1.388,0.180,1.281,0.166,2.670,0.347,0.666,0.087,0.500,0.065,1.166,0.152,76.969
2017,5,103,85,0.694,0.94,1.388,0.180,1.281,0.166,2.670,0.347,0.666,0.087,0.500,0.065,1.166,0.152,76.969
2017,30,118,70,0.694,0.94,1.388,0.180,1.281,0.166,2.670,0.347,0.666,0.087,0.500,0.065,1.166,0.152,76.969
2017,5,108,79,0.687,0.94,1.373,0.178,1.267,0.165,2.639,0.343,0.659,0.086,0.494,0.064,1.153,0.150,76.969
2017,21,95,92,0.687,0.94,1.373,0.178,1.267,0.165,2.639,0.343,0.659,0.086,0.494,0.064,1.153,0.150,76.969
2017,19,148,110,1.307,1.29,2.733,0.178,2.523,0.164,5.256,0.341,1.312,0.085,0.984,0.064,2.296,0.149,153.938
2017,25,156,102,1.307,1.29,2.733,0.178,2.523,0.164,5.256,0.341,1.312,0.085,0.984,0.064,2.296,0.149,153.938
2017,22,150,36,0.679,0.93,1.357,0.176,1.252,0.163,2.609,0.339,0.651,0.085,0.488,0.063,1.140,0.148,76.969
2010,1,122,135,1.297,1.29,2.711,0.176,2.502,0.163,5.212,0.339,1.301,0.085,0.976,0.063,2.277,0.148,153.938
2010,3,136,121,1.297,1.29,2.711,0.176,2.502,0.163,5.212,0.339,1.301,0.085,0.976,0.063,2.277,0.148,153.938
2017,23,128,129,1.297,1.29,2.711,0.176,2.502,0.163,5.212,0.339,1.301,0.085,0.976,0.063,2.277,0.148,153.938
2017,23,128,129,1.297,1.29,2.711,0.176,2.502,0.163,5.212,0.339,1.301,0.085,0.976,0.063,2.277,0.148,153.938
